CIG	BLAD	LUNG	KID	LEUK
18.2	2.9	17.05	1.59	6.15
25.82	3.52	19.8	2.75	6.61
18.24	2.99	15.98	2.02	6.94
28.6	4.46	22.07	2.66	7.06
31.1	5.11	22.83	3.35	7.2
33.6	4.78	24.55	3.36	6.45
40.46	5.6	27.27	3.13	7.08
28.27	4.46	23.57	2.41	6.07
20.1	3.08	13.58	2.46	6.62
27.91	4.75	22.8	2.95	7.27
26.18	4.09	20.3	2.81	7
22.12	4.23	16.59	2.9	7.69
21.84	2.91	16.84	2.88	7.42
23.44	2.86	17.71	2.13	6.41
21.58	4.65	25.45	2.3	6.71
28.92	4.79	20.94	3.22	6.24
25.91	5.21	26.48	2.85	6.81
26.92	4.69	22.04	3.03	6.89
24.96	5.27	22.72	2.97	6.91
22.06	3.72	14.2	3.54	8.28
16.08	3.06	15.6	1.77	6.08
27.56	4.04	20.98	2.55	6.82
23.75	3.95	19.5	3.43	6.9
23.32	3.72	16.7	2.92	7.8
42.4	6.54	23.03	2.85	6.67
28.64	5.98	25.95	3.12	7.12
21.16	2.9	14.59	2.52	5.95
29.14	5.3	25.02	3.1	7.23
19.96	2.89	12.12	3.62	6.99
26.38	4.47	21.89	2.95	7.38
23.44	2.93	19.45	2.45	7.46
23.78	4.89	12.11	2.75	6.83
29.18	4.99	23.68	2.84	6.35
18.06	3.25	17.45	2.05	5.82
20.94	3.64	14.11	3.11	8.15
20.08	2.94	17.6	2.18	6.59
22.57	3.21	20.74	2.69	7.02
14	3.31	12.01	2.2	6.71
25.89	4.63	21.22	3.17	6.56
21.17	4.04	20.34	2.78	7.48
21.25	5.14	20.55	2.34	6.73
22.86	4.78	15.53	3.28	7.38
28.04	3.2	15.92	2.66	5.78
30.34	3.46	25.88	4.32	4.9

